"shipping_id"	"party_id"	"truck_type_used"	"weight_demand"	"volume_demand"	"weight_load_taken"	"vehicle_weight_capacity"	"volume_load_taken"	"vehicle_volume_capacity"
"26"	"24170"	"vehicle5"	"659"	"100"	"2752"	"3600"	"460"	"490"	"2411.0"
"27"	"23029"	"vehicle5"	"2514"	"426"	"2529"	"3600"	"427"	"490"	"2111.0"
"27"	"23029"	"vehicle5"	"15"	"1"	"2529"	"3600"	"427"	"490"	"2111.0"
"28"	"22861"	"vehicle5"	"2392"	"408"	"2392"	"3600"	"408"	"490"	"2450.0"
"29"	"23080"	"vehicle5"	"2419"	"394"	"2419"	"3600"	"394"	"490"	"2450.0"
"30"	"15457"	"vehicle5"	"1788"	"287"	"2911"	"3600"	"482"	"490"	"2111.0"
"30"	"23452"	"vehicle5"	"1123"	"195"	"2911"	"3600"	"482"	"490"	"3586.0"
"31"	"23688"	"vehicle5"	"2287"	"405"	"2287"	"3600"	"405"	"490"	"2111.0"
"32"	"24698"	"vehicle6"	"763"	"130"	"1622"	"2400"	"264"	"264"	"1931.0"
"32"	"22196"	"vehicle6"	"859"	"134"	"1622"	"2400"	"264"	"264"	"2231.0"
