f,t,1,2,3,4,5,6,7,distance,time,from_cat,to_cat,from_cat2,to_cat2
21316,939,99999,99999,99999,99999,99999,99999,99999,160,276,AW,AW,GT,Upcountry
21316,19288,99999,99999,99999,99999,99999,99999,99999,152,261,AW,AW,GT,Upcountry
21316,15459,99999,99999,99999,99999,99999,99999,99999,345,592,AW,AW,GT,Upcountry
21316,19507,99999,99999,99999,99999,99999,99999,99999,399,686,AW,AW,GT,Upcountry
21316,6882,99999,99999,99999,99999,99999,99999,99999,29,52,AW,MT,GT,MT
21316,940,99999,99999,99999,99999,99999,99999,99999,153,263,AW,AW,GT,Upcountry
21316,6409,99999,99999,99999,99999,99999,99999,99999,238,408,AW,AW,GT,Upcountry
21316,22883,99999,99999,99999,99999,99999,99999,99999,83,144,AW,AW,GT,Upcountry
21316,21342,99999,99999,99999,99999,99999,99999,99999,52,91,AW,AW,GT,Upcountry
21316,944,99999,99999,99999,99999,99999,99999,99999,375,644,AW,AW,GT,Upcountry
21316,23592,99999,99999,99999,99999,99999,99999,99999,298,512,AW,AW,GT,Upcountry
21316,16094,99999,99999,99999,99999,99999,99999,99999,88,153,AW,AW,GT,Upcountry
21316,23326,99999,99999,99999,99999,99999,99999,99999,88,153,AW,AD,GT,Upcountry
21316,12238,99999,99999,99999,99999,99999,99999,99999,91,157,AW,AW,GT,Upcountry
21316,11149,99999,99999,99999,99999,99999,99999,99999,205,353,AW,AW,GT,Upcountry
21316,941,99999,99999,99999,99999,99999,99999,99999,102,175,AW,AW,GT,Upcountry
21316,22043,99999,99999,99999,99999,99999,99999,99999,344,590,AW,AW,GT,Upcountry
21316,23761,99999,99999,99999,99999,99999,99999,99999,23,41,AW,MT,GT,MT
21316,19972,99999,99999,99999,99999,99999,99999,99999,85,147,AW,AW,GT,Upcountry
21316,23452,99999,99999,99999,99999,99999,99999,99999,101,174,AW,AW,GT,Upcountry
21316,23916,99999,99999,99999,99999,99999,99999,99999,417,715,AW,AW,GT,Upcountry
21316,21769,99999,99999,99999,99999,99999,99999,99999,439,754,AW,AW,GT,Upcountry
21316,21986,99999,99999,99999,99999,99999,99999,99999,461,792,AW,AW,GT,Upcountry
21316,17049,99999,99999,99999,99999,99999,99999,99999,415,712,AW,AW,GT,Upcountry
21316,24151,99999,99999,99999,99999,99999,99999,99999,494,848,AW,AW,GT,Upcountry
21316,21892,99999,99999,99999,99999,99999,99999,99999,379,651,AW,AW,GT,Upcountry
21316,24271,99999,99999,99999,99999,99999,99999,99999,114,197,AW,AW,GT,Upcountry
21316,23768,99999,99999,99999,99999,99999,99999,99999,120,207,AW,AW,GT,Upcountry
21316,10698,99999,99999,99999,99999,99999,99999,99999,340,583,AW,AW,GT,Upcountry
21316,21422,99999,99999,99999,99999,99999,99999,99999,327,562,AW,AW,GT,Upcountry
21316,14975,99999,99999,99999,99999,99999,99999,99999,359,616,AW,AW,GT,Upcountry
21316,16409,99999,99999,99999,99999,99999,99999,99999,255,439,AW,AW,GT,Upcountry
21316,11645,99999,99999,99999,99999,99999,99999,99999,374,643,AW,AW,GT,Upcountry
21316,22533,99999,99999,99999,99999,99999,99999,99999,227,390,AW,AW,GT,Upcountry
21316,14555,99999,99999,99999,99999,99999,99999,99999,261,449,AW,AW,GT,Upcountry
15865,25110,99999,99999,99999,99999,99999,99999,99999,21,37,MT,AW,MT,GT
15865,22196,99999,99999,99999,99999,99999,99999,99999,19,34,MT,AW,MT,GT
15865,23717,99999,99999,99999,99999,99999,99999,99999,41,71,MT,AW,MT,GT
15865,24170,99999,99999,99999,99999,99999,99999,99999,37,64,MT,AW,MT,Upcountry
15865,25038,99999,99999,99999,99999,99999,99999,99999,0,0,MT,AW,MT,Upcountry
15865,23894,99999,99999,99999,99999,99999,99999,99999,29,52,MT,AW,MT,GT
15865,24698,99999,99999,99999,99999,99999,99999,99999,31,54,MT,AW,MT,Upcountry
15865,22693,99999,99999,99999,99999,99999,99999,99999,23,40,MT,AW,MT,GT
15865,24051,99999,99999,99999,99999,99999,99999,99999,19,34,MT,AW,MT,Upcountry
15865,22803,99999,99999,99999,99999,99999,99999,99999,26,47,MT,AW,MT,GT
15865,15457,99999,99999,99999,99999,99999,99999,99999,40,71,MT,AW,MT,Upcountry
15865,23029,99999,99999,99999,99999,99999,99999,99999,37,64,MT,AW,MT,GT
15865,23688,99999,99999,99999,99999,99999,99999,99999,19,33,MT,AW,MT,Upcountry
15865,958,99999,99999,99999,99999,99999,99999,99999,27,48,MT,AW,MT,GT
15865,2651,99999,99999,99999,99999,99999,99999,99999,27,47,MT,AW,MT,GT
15865,24444,99999,99999,99999,99999,99999,99999,99999,25,44,MT,AW,MT,Upcountry
15865,23711,99999,99999,99999,99999,99999,99999,99999,31,55,MT,AW,MT,GT
15865,25058,99999,99999,99999,99999,99999,99999,99999,35,61,MT,AW,MT,GT
15865,25152,99999,99999,99999,99999,99999,99999,99999,26,47,MT,AW,MT,Upcountry
15865,15822,99999,99999,99999,99999,99999,99999,99999,49,85,MT,AW,MT,Upcountry
15865,939,99999,99999,99999,99999,99999,99999,99999,152,261,MT,AW,MT,Upcountry
15865,19288,99999,99999,99999,99999,99999,99999,99999,159,275,MT,AW,MT,Upcountry
15865,15459,99999,99999,99999,99999,99999,99999,99999,307,528,MT,AW,MT,Upcountry
15865,19507,99999,99999,99999,99999,99999,99999,99999,358,616,MT,AW,MT,Upcountry
15865,6882,99999,99999,99999,99999,99999,99999,99999,31,55,MT,MT,MT,MT
15865,940,99999,99999,99999,99999,99999,99999,99999,150,259,MT,AW,MT,Upcountry
15865,6409,99999,99999,99999,99999,99999,99999,99999,236,407,MT,AW,MT,Upcountry
15865,22883,99999,99999,99999,99999,99999,99999,99999,74,128,MT,AW,MT,Upcountry
15865,21342,99999,99999,99999,99999,99999,99999,99999,38,66,MT,AW,MT,Upcountry
15865,944,99999,99999,99999,99999,99999,99999,99999,364,626,MT,AW,MT,Upcountry
15865,23592,99999,99999,99999,99999,99999,99999,99999,322,553,MT,AW,MT,Upcountry
15865,16094,99999,99999,99999,99999,99999,99999,99999,60,105,MT,AW,MT,Upcountry
15865,23326,99999,99999,99999,99999,99999,99999,99999,60,105,MT,AD,MT,Upcountry
15865,12238,99999,99999,99999,99999,99999,99999,99999,92,159,MT,AW,MT,Upcountry
15865,11149,99999,99999,99999,99999,99999,99999,99999,195,335,MT,AW,MT,Upcountry
15865,941,99999,99999,99999,99999,99999,99999,99999,98,169,MT,AW,MT,Upcountry
15865,22043,99999,99999,99999,99999,99999,99999,99999,332,571,MT,AW,MT,Upcountry
15865,23761,99999,99999,99999,99999,99999,99999,99999,22,39,MT,MT,MT,MT
