"shipping_id"	"party_id"	"truck_type_used"	"weight_demand"	"volume_demand"	"weight_load_taken"	"vehicle_weight_capacity"	"volume_load_taken"	"vehicle_volume_capacity"
"18"	"16094"	"vehicle4"	"3514"	"566"	"4007"	"4800"	"666"	"680"	"3969.0"
"19"	"22693"	"vehicle2"	"1663"	"281"	"4173"	"4800"	"697"	"771"	"3060.0"
"19"	"22693"	"vehicle2"	"48"	"3"	"4173"	"4800"	"697"	"771"	"3060.0"
"19"	"21316"	"vehicle2"	"17"	"1"	"4173"	"4800"	"697"	"771"	"3360.0"
"19"	"21316"	"vehicle2"	"2445"	"412"	"4173"	"4800"	"697"	"771"	"3360.0"
"20"	"24444"	"vehicle4"	"28"	"4"	"3790"	"4800"	"647"	"680"	"2781.0"
"20"	"24444"	"vehicle4"	"1178"	"200"	"3790"	"4800"	"647"	"680"	"2781.0"
"20"	"24051"	"vehicle4"	"2584"	"443"	"3790"	"4800"	"647"	"680"	"3081.0"
"21"	"19288"	"vehicle4"	"2569"	"437"	"3525"	"4800"	"598"	"680"	"5761.0"
"21"	"23592"	"vehicle4"	"956"	"161"	"3525"	"4800"	"598"	"680"	"6061.0"
"22"	"21986"	"vehicle5"	"1866"	"322"	"2878"	"3600"	"482"	"490"	"8329.0"
"22"	"23916"	"vehicle5"	"1012"	"160"	"2878"	"3600"	"482"	"490"	"8629.0"
"23"	"25058"	"vehicle4"	"3435"	"593"	"3440"	"4800"	"594"	"680"	"2781.0"
"23"	"23717"	"vehicle4"	"5"	"1"	"3440"	"4800"	"594"	"680"	"3081.0"
"24"	"16409"	"vehicle5"	"2501"	"422"	"2504"	"3600"	"423"	"490"	"5895.0"
"24"	"16409"	"vehicle5"	"3"	"1"	"2504"	"3600"	"423"	"490"	"5895.0"
"25"	"19972"	"vehicle5"	"1328"	"223"	"2597"	"3600"	"453"	"490"	"3710.0"
"25"	"23768"	"vehicle5"	"1269"	"230"	"2597"	"3600"	"453"	"490"	"4628.0"
"26"	"22196"	"vehicle4"	"5"	"0"	"3760"	"4800"	"642"	"680"	"2781.0"
"26"	"22196"	"vehicle4"	"1401"	"242"	"3760"	"4800"	"642"	"680"	"2781.0"
