f,t,1,2,3,4,5,6,7,distance,time,from_cat,to_cat,from_cat2,to_cat2
23029,18240,99999,99999,99999,99999,99999,99999,99999,19,34,AW,AW,GT,Upcountry
23029,23452,99999,99999,99999,99999,99999,99999,99999,36,63,AW,AW,GT,Upcountry
23029,23080,99999,99999,99999,99999,99999,99999,99999,23,41,AW,MT,GT,MT
15457,23688,99999,99999,99999,99999,99999,99999,99999,22,40,AW,AW,Upcountry,GT
15457,25110,99999,99999,99999,99999,99999,99999,99999,23,40,AW,AW,Upcountry,GT
15457,22196,99999,99999,99999,99999,99999,99999,99999,21,38,AW,AW,Upcountry,GT
15457,23717,99999,99999,99999,99999,99999,99999,99999,13,24,AW,AW,Upcountry,GT
15457,24170,99999,99999,99999,99999,99999,99999,99999,9,16,AW,AW,Upcountry,GT
15457,22693,99999,99999,99999,99999,99999,99999,99999,29,50,AW,AW,Upcountry,GT
15457,23711,99999,99999,99999,99999,99999,99999,99999,10,19,AW,AW,Upcountry,GT
15457,24051,99999,99999,99999,99999,99999,99999,99999,30,52,AW,AW,Upcountry,GT
15457,2651,99999,99999,99999,99999,99999,99999,99999,24,43,AW,AW,Upcountry,GT
15457,23894,99999,99999,99999,99999,99999,99999,99999,11,21,AW,AW,Upcountry,GT
15457,24698,99999,99999,99999,99999,99999,99999,99999,8,15,AW,AW,Upcountry,GT
15457,958,99999,99999,99999,99999,99999,99999,99999,17,31,AW,AW,Upcountry,GT
15457,25152,99999,99999,99999,99999,99999,99999,99999,14,25,AW,AW,Upcountry,GT
15457,24444,99999,99999,99999,99999,99999,99999,99999,17,30,AW,AW,Upcountry,GT
15457,16730,99999,99999,99999,99999,99999,99999,99999,22,40,AW,AD,Upcountry,ACD
15457,23895,99999,99999,99999,99999,99999,99999,99999,14,26,AW,AW,Upcountry,GT
15457,22803,99999,99999,99999,99999,99999,99999,99999,14,25,AW,AW,Upcountry,GT
15457,21316,99999,99999,99999,99999,99999,99999,99999,28,50,AW,AW,Upcountry,GT
15457,24394,99999,99999,99999,99999,99999,99999,99999,154,266,AW,MT,Upcountry,Upcountry
15457,22861,99999,900,900,900,900,900,900,19,35,AW,AW,Upcountry,Upcountry
15457,23716,99999,99999,99999,99999,99999,99999,99999,327,562,AW,AW,Upcountry,Upcountry
15457,25038,99999,900,900,900,900,900,900,40,71,AW,AW,Upcountry,Upcountry
15457,23348,99999,99999,99999,99999,99999,99999,99999,11,21,AW,MT,Upcountry,MT
15457,24172,99999,99999,99999,99999,99999,99999,99999,19,34,AW,MT,Upcountry,MT
15457,19413,99999,900,900,900,900,900,900,94,163,AW,AW,Upcountry,Upcountry
15457,940,99999,99999,99999,99999,99999,99999,99999,146,252,AW,AW,Upcountry,Upcountry
15457,4425,99999,900,900,900,900,900,900,69,119,AW,AW,Upcountry,Upcountry
15457,22820,99999,99999,99999,99999,99999,99999,99999,196,337,AW,AW,Upcountry,Upcountry
15457,21367,99999,99999,99999,99999,99999,99999,99999,346,594,AW,MT,Upcountry,Upcountry
15457,23640,99999,99999,99999,99999,99999,99999,99999,151,261,AW,AW,Upcountry,Upcountry
15457,17606,99999,900,900,900,900,900,900,58,100,AW,AW,Upcountry,Upcountry
15457,6410,99999,900,900,900,900,900,900,83,144,AW,AW,Upcountry,Upcountry
15457,25167,99999,900,900,900,900,900,900,58,100,AW,AW,Upcountry,Upcountry
15457,14363,99999,99999,99999,99999,99999,99999,99999,11,21,AW,AD,Upcountry,ACD
15457,25181,99999,99999,99999,99999,99999,99999,99999,229,394,AW,AW,Upcountry,Upcountry
15457,21987,99999,99999,99999,99999,99999,99999,99999,26,45,AW,MT,Upcountry,MT
15457,18240,99999,900,900,900,900,900,900,19,34,AW,AW,Upcountry,Upcountry
15457,23452,99999,900,900,900,900,900,900,33,58,AW,AW,Upcountry,Upcountry
15457,23080,99999,99999,99999,99999,99999,99999,99999,19,35,AW,MT,Upcountry,MT
23688,25110,99999,900,900,900,900,900,900,4,8,AW,AW,GT,GT
23688,22196,99999,900,900,900,900,900,900,3,7,AW,AW,GT,GT
23688,23717,99999,900,900,900,900,900,900,27,47,AW,AW,GT,GT
23688,24170,99999,900,900,900,900,900,900,26,46,AW,AW,GT,GT
23688,22693,99999,900,900,900,900,900,900,20,36,AW,AW,GT,GT
23688,23711,99999,900,900,900,900,900,900,12,22,AW,AW,GT,GT
23688,24051,99999,900,900,900,900,900,900,18,32,AW,AW,GT,GT
23688,2651,99999,900,900,900,900,900,900,20,36,AW,AW,GT,GT
23688,23894,99999,900,900,900,900,900,900,13,24,AW,AW,GT,GT
23688,24698,99999,900,900,900,900,900,900,23,41,AW,AW,GT,GT
23688,958,99999,900,900,900,900,900,900,18,32,AW,AW,GT,GT
23688,25152,99999,900,900,900,900,900,900,8,15,AW,AW,GT,GT
23688,24444,99999,900,900,900,900,900,900,6,11,AW,AW,GT,GT
